Invoice ID,Branch,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Month,Time,Payment,COGS,Gross Margin Percentage,Gross Income,Net Profit,Rating
848-62-7243,A,Normal,Male,Health and beauty,98.58,9,44.361000000000004,931.581,03/15/2019,March,15:36,Cash,874.3336,6.14518759,57.2474,12.886399999999995,7.4
871-79-8483,B,Normal,Male,Fashion accessories,167.82,5,41.955,881.055,02/25/2019,February,19:39,Credit card,820.6744,6.853215747,60.3806,18.425600000000003,4.8
149-71-6266,B,Member,Male,Sports and travel,151.76,9,68.292,1434.132,01/28/2019,January,12:43,Cash,1348.6992,5.957108551,85.4328,17.1408,4.5
640-49-2076,B,Normal,Male,Sports and travel,157.47,8,62.988,1322.7479999999998,01/10/2019,January,14:49,Cash,1242.1624,6.0922866639999995,80.5856,17.5976,5.1
595-11-5460,A,Normal,Male,Health and beauty,170.27,2,17.027,357.56699999999995,03/15/2019,March,10:12,Credit card,321.9184,9.969767904,35.6486,18.6216,5.1
183-56-6882,C,Member,Female,Food and beverages,173.11,4,34.622,727.062,02/06/2019,February,10:42,Ewallet,673.5912,7.354365927999999,53.4708,18.848799999999997,7.5
232-16-2483,C,Member,Female,Sports and travel,141.81,1,7.0905,148.9005,01/07/2019,January,12:28,Ewallet,125.4652,15.73889947,23.4353,16.344800000000003,6.8
129-29-8530,A,Member,Male,Sports and travel,136.31,5,34.0775,715.6275,03/10/2019,March,19:15,Ewallet,665.6452,6.984401801000001,49.9823,15.904800000000002,7.0
272-65-1806,A,Normal,Female,Electronic accessories,134.57,9,60.5565,1271.6865,01/15/2019,January,17:17,Ewallet,1195.3644,6.001644272999999,76.3221,15.765600000000006,4.7
333-73-7901,C,Normal,Female,Health and beauty,128.61,8,51.443999999999996,1080.3239999999998,03/23/2019,March,13:24,Ewallet,1013.5912,6.17710983,66.7328,15.288800000000002,7.6
777-82-7220,B,Member,Male,Home and lifestyle,103.81,8,41.523999999999994,872.0039999999999,03/03/2019,March,13:01,Cash,817.1752,6.2876775789999995,54.8288,13.304800000000007,7.7
280-35-5823,B,Member,Female,Home and lifestyle,160.41,1,8.0205,168.4305,01/17/2019,January,18:45,Ewallet,142.5772,15.34953586,25.8533,17.8328,7.9
554-53-8700,C,Member,Male,Home and lifestyle,129.8,2,12.98,272.58,02/02/2019,February,10:11,Cash,244.21599999999998,10.40575244,28.364,15.384,6.3
354-25-5821,B,Member,Female,Sports and travel,142.81,6,42.843,899.703,02/08/2019,February,13:03,Cash,840.4352,6.587484981,59.2678,16.424799999999998,5.6
228-96-1411,C,Member,Female,Food and beverages,172.39,8,68.956,1448.076,03/04/2019,March,20:39,Cash,1360.3288,6.059571459,87.7472,18.791200000000003,7.6
617-15-4209,C,Member,Male,Health and beauty,89.06,2,8.906,187.02599999999998,03/16/2019,March,19:47,Cash,165.9952,11.24485366,21.0308,12.124799999999999,7.2
132-32-9879,B,Member,Female,Electronic accessories,167.65,4,33.53,704.13,03/09/2019,March,18:00,Cash,652.188,7.376762814,51.942,18.412,9.5
370-41-7321,B,Member,Male,Health and beauty,130.38,9,58.67100000000001,1232.0910000000001,02/27/2019,February,17:24,Credit card,1157.9896,6.014279789,74.1014,15.430399999999992,8.4
727-46-3608,B,Member,Female,Food and beverages,93.7,9,42.165,885.465,02/06/2019,February,15:47,Ewallet,830.804,6.173140666,54.661,12.496000000000002,4.1
669-54-1719,B,Member,Male,Electronic accessories,92.62,6,27.785999999999998,583.506,02/10/2019,February,12:45,Credit card,543.3104,6.88863525,40.1956,12.409600000000001,8.1
574-22-5561,C,Member,Female,Fashion accessories,156.32,10,78.16,1641.36,03/19/2019,March,17:08,Ewallet,1545.6944,5.828434956000001,95.6656,17.5056,7.9
326-78-5178,C,Member,Male,Food and beverages,165.09,7,57.7815,1213.4115,02/03/2019,February,10:19,Cash,1137.4228,6.262401502,75.9887,18.207199999999993,9.5
162-48-8011,A,Member,Female,Food and beverages,118.28,5,29.57,620.97,02/10/2019,February,15:10,Cash,576.9376,7.090906163,44.0324,14.462400000000002,8.5
616-24-2851,B,Member,Female,Fashion accessories,91.56,4,18.312,384.55199999999996,03/22/2019,March,14:42,Ewallet,353.9152,7.966880942,30.6368,12.3248,6.5
778-71-5554,C,Member,Male,Fashion accessories,89.12,1,4.456,93.57600000000001,01/25/2019,January,15:46,Credit card,76.9904,17.72420279,16.5856,12.1296,6.1
242-55-6721,B,Normal,Male,Home and lifestyle,89.85,2,8.985,188.685,03/07/2019,March,11:49,Ewallet,167.512,11.22134775,21.173000000000002,12.188000000000002,6.5
399-46-5918,C,Normal,Female,Electronic accessories,159.67,8,63.868,1341.2279999999998,02/28/2019,February,19:01,Cash,1259.5864,6.087078409,81.6416,17.773599999999995,8.2
106-35-6779,A,Member,Male,Home and lifestyle,118.03,2,11.802999999999999,247.863,03/27/2019,March,11:26,Cash,221.6176,10.58867197,26.2454,14.442400000000001,5.8
635-40-6220,A,Normal,Male,Health and beauty,163.29,8,65.316,1371.636,02/07/2019,February,11:28,Ewallet,1288.2568,6.078813912999999,83.3792,18.063199999999995,6.6
817-48-8732,A,Member,Female,Home and lifestyle,146.04,10,73.02,1533.42,01/20/2019,January,15:55,Cash,1443.7168,5.84987805,89.7032,16.6832,5.4
120-06-4233,C,Normal,Male,Electronic accessories,104.3,6,31.29,657.09,03/12/2019,March,20:36,Cash,612.456,6.792676802000001,44.63399999999999,13.343999999999994,9.3
285-68-5083,C,Member,Female,Sports and travel,98.43,3,14.7645,310.0545,02/15/2019,February,17:47,Credit card,282.4156,8.914207017999999,27.6389,12.8744,10.0
803-83-5989,C,Normal,Male,Home and lifestyle,129.42,6,38.826,815.346,02/24/2019,February,10:55,Ewallet,761.1664,6.6449826210000005,54.1796,15.3536,7.0
347-34-2234,B,Member,Female,Sports and travel,128.76,9,57.942,1216.782,02/03/2019,February,13:40,Ewallet,1143.5392,6.01938556,73.2428,15.300800000000002,10.0
199-75-8169,A,Member,Male,Sports and travel,89.5,10,44.75,939.75,03/06/2019,March,12:27,Credit card,882.84,6.055865922000001,56.91,12.159999999999997,8.6
853-23-2453,B,Member,Male,Health and beauty,149.43,4,29.886,627.606,02/14/2019,February,14:35,Cash,580.7656,7.463344837,46.8404,16.954400000000003,7.6
877-22-3308,A,Member,Male,Health and beauty,89.56,10,44.78,940.38,03/13/2019,March,16:40,Cash,883.4352,6.055509475,56.9448,12.1648,5.8
838-78-4295,C,Normal,Female,Health and beauty,107.16,2,10.716,225.03599999999997,02/10/2019,February,15:43,Ewallet,200.7472,10.79329529,24.2888,13.572799999999999,6.7
109-28-2512,B,Member,Female,Fashion accessories,171.3,6,51.39,1079.19,01/07/2019,January,15:01,Ewallet,1009.096,6.4950564779999995,70.094,18.703999999999994,9.9
232-11-3025,A,Normal,Male,Sports and travel,152.46,10,76.23,1600.83,01/24/2019,January,10:04,Cash,1507.4032,5.836147498,93.4268,17.196799999999996,6.4
382-03-4532,A,Member,Female,Health and beauty,92.02,1,4.601,96.62100000000001,02/02/2019,February,18:50,Cash,79.6584,17.55581085,16.9626,12.3616,4.3
393-65-2792,C,Normal,Male,Food and beverages,163.17,10,81.585,1713.285,01/06/2019,January,12:46,Credit card,1613.6464,5.81564655,99.6386,18.053600000000003,9.6
796-12-2025,C,Normal,Male,Fashion accessories,135.81,10,67.905,1426.005,02/11/2019,February,16:19,Cash,1342.2352,5.87443943,83.7698,15.864800000000002,5.9
510-95-6347,B,Member,Female,Food and beverages,122.21,3,18.3315,384.9615,03/05/2019,March,18:17,Ewallet,351.8532,8.600418483,33.1083,14.776800000000001,4.0
841-35-6630,C,Normal,Female,Electronic accessories,149.6,6,44.88,942.48,03/09/2019,March,18:21,Cash,880.632,6.562261267999999,61.848,16.967999999999996,8.7
287-21-9091,A,Normal,Male,Home and lifestyle,148.36,9,66.762,1402.0020000000002,01/22/2019,January,10:55,Ewallet,1318.3712,5.965098481,83.6308,16.868799999999993,9.4
732-94-0499,C,Normal,Female,Electronic accessories,115.34,10,57.67,1211.07,01/13/2019,January,17:04,Credit card,1139.1728,5.936667575,71.8972,14.227199999999996,5.4
263-10-3913,C,Member,Male,Fashion accessories,122.73,9,55.2285,1159.7985,01/09/2019,January,14:20,Credit card,1089.7516,6.039574977999999,70.0469,14.818399999999997,8.6
381-20-0914,A,Member,Female,Fashion accessories,93.7,9,42.165,885.465,01/12/2019,January,15:48,Credit card,830.804,6.173140666,54.661,12.496000000000002,5.7
829-49-1914,C,Member,Female,Food and beverages,152.0,10,76.0,1596.0,03/05/2019,March,16:24,Ewallet,1502.84,5.837092732,93.16,17.159999999999997,6.6
756-01-7507,C,Normal,Female,Health and beauty,94.07,5,23.5175,493.8675,01/22/2019,January,18:56,Cash,457.8244,7.298131584,36.0431,12.525600000000004,6.0
870-72-4431,C,Normal,Female,Health and beauty,172.88,6,51.864,1089.144,01/21/2019,January,14:42,Credit card,1018.4496,6.49082215,70.6944,18.830400000000004,5.5
847-38-7188,B,Normal,Female,Food and beverages,170.37,3,25.5555,536.6655,01/26/2019,January,19:56,Ewallet,492.4804,8.233266346,44.1851,18.6296,6.4
480-63-2856,C,Normal,Male,Food and beverages,92.94,8,37.176,780.696,01/23/2019,January,18:37,Ewallet,731.0848,6.354739873,49.6112,12.435199999999995,6.6
787-56-0757,C,Member,Female,Food and beverages,154.05,4,30.81,647.01,02/23/2019,February,18:45,Credit card,598.876,7.43945225,48.13399999999999,17.323999999999995,8.3
360-39-5055,C,Member,Male,Sports and travel,122.6,5,30.65,643.65,03/09/2019,March,10:17,Cash,598.192,7.062533986,45.458,14.808,6.6
730-50-9884,C,Normal,Female,Sports and travel,156.75,7,54.8625,1152.1125,03/05/2019,March,14:31,Ewallet,1079.71,6.284325532,72.4025,17.540000000000006,4.0
362-58-8315,C,Normal,Male,Fashion accessories,150.21,5,37.5525,788.6025,03/25/2019,March,10:23,Cash,734.0332,6.919747274,54.5693,17.016799999999996,9.9
633-44-8566,A,Member,Male,Food and beverages,123.07,7,43.0745,904.5645,03/27/2019,March,20:35,Credit card,846.6444,6.4030923170000005,57.9201,14.845599999999997,7.3
504-35-8843,A,Normal,Male,Sports and travel,116.16,1,5.808,121.96799999999999,01/02/2019,January,16:57,Cash,101.8672,16.4803883,20.1008,14.2928,5.7
318-68-5053,B,Normal,Female,Health and beauty,150.68,6,45.20399999999999,949.284,02/27/2019,February,17:55,Cash,887.0256,6.558458796,62.2584,17.054400000000008,6.1
565-80-5980,C,Member,Female,Home and lifestyle,121.07,4,24.214000000000002,508.494,01/23/2019,January,10:25,Cash,469.5944,7.649962437999999,38.8996,14.685599999999997,7.1
225-32-0908,C,Normal,Female,Sports and travel,118.55,10,59.275,1244.775,01/26/2019,January,19:54,Ewallet,1171.016,5.925488542,73.759,14.484000000000002,8.2
873-51-0671,A,Member,Female,Sports and travel,95.67,7,33.4845,703.1745,01/10/2019,January,16:42,Ewallet,657.0364,6.561401188,46.1381,12.653600000000004,5.1
152-08-9985,B,Member,Male,Health and beauty,138.05,9,62.1225,1304.5725,03/12/2019,March,12:09,Credit card,1226.406,5.991732924,78.1665,16.043999999999997,8.6
512-91-0811,C,Normal,Male,Health and beauty,163.44,1,8.172,171.612,02/06/2019,February,20:05,Credit card,145.3648,15.29450155,26.2472,18.0752,6.6
594-34-4444,A,Normal,Male,Electronic accessories,170.85,1,8.5425,179.3925,03/08/2019,March,20:38,Ewallet,152.18200000000002,15.16813691,27.2105,18.668,7.2
766-85-7061,B,Normal,Male,Health and beauty,161.56,10,80.78,1696.38,03/29/2019,March,10:25,Ewallet,1597.6752,5.818554805,98.7048,17.924800000000005,5.1
871-39-9221,C,Normal,Female,Electronic accessories,86.14,6,25.842,542.682,02/09/2019,February,13:11,Cash,504.9488,6.95309592,37.7332,11.891199999999998,4.1
865-92-6136,A,Normal,Male,Food and beverages,126.44,3,18.965999999999998,398.286,03/23/2019,March,10:16,Ewallet,364.2048,8.556966602000001,34.0812,15.115200000000005,9.3
733-01-9107,B,Normal,Male,Home and lifestyle,156.39,6,46.917,985.257,03/05/2019,March,18:14,Cash,920.8288,6.539227836,64.4282,17.511200000000002,7.4
163-56-7055,C,Member,Male,Fashion accessories,122.4,1,6.12,128.52,03/26/2019,March,19:20,Cash,107.60799999999999,16.27139745,20.912,14.791999999999998,4.1
189-98-2939,C,Normal,Male,Fashion accessories,152.24,9,68.508,1438.668,03/01/2019,March,13:22,Cash,1352.9808,5.956009309,85.6872,17.17920000000001,7.2
551-21-3069,C,Normal,Female,Electronic accessories,96.76,9,43.542,914.382,02/01/2019,February,11:27,Cash,858.0992,6.155283022000001,56.2828,12.7408,4.9
212-62-1842,A,Normal,Male,Food and beverages,131.95,6,39.585,831.285,03/28/2019,March,16:44,Cash,776.1439999999999,6.633224466000001,55.141000000000005,15.556000000000004,9.9
716-39-1409,B,Normal,Male,Health and beauty,104.04,7,36.414,764.694,03/19/2019,March,18:19,Cash,714.9568,6.50419645,49.7372,13.3232,8.0
704-48-3927,A,Member,Male,Electronic accessories,162.36,10,81.18,1704.78,01/12/2019,January,14:50,Ewallet,1605.6112,5.8171025,99.1688,17.988799999999998,7.3
628-34-3388,C,Normal,Male,Fashion accessories,101.07,6,30.320999999999998,636.741,01/05/2019,January,20:54,Credit card,593.3344,6.816994665,43.4066,13.0856,7.9
630-74-5166,A,Normal,Male,Sports and travel,135.82,6,40.746,855.666,03/22/2019,March,20:19,Cash,799.0544,6.616086182999999,56.6116,15.8656,7.4
588-01-7461,C,Normal,Female,Food and beverages,107.67,9,48.4515,1017.4815,03/24/2019,March,10:43,Cash,955.4164,6.099875035,62.0651,13.613599999999998,4.2
861-77-0145,C,Member,Male,Electronic accessories,155.66,10,77.83,1634.43,03/03/2019,March,14:30,Cash,1539.1472,5.829726571,95.2828,17.452799999999996,9.2
479-26-8945,B,Member,Female,Sports and travel,90.18,2,9.017999999999999,189.378,02/05/2019,February,11:32,Ewallet,168.1456,11.21165077,21.2324,12.2144,4.6
210-67-5886,C,Member,Female,Health and beauty,171.9,3,25.785,541.485,02/05/2019,February,10:41,Credit card,496.94800000000004,8.224973914,44.537,18.752,7.8
227-78-1148,B,Normal,Female,Fashion accessories,146.53,7,51.2855,1076.9955,02/15/2019,February,12:44,Cash,1008.9876,6.314594629,68.0079,16.722400000000007,8.4
645-44-1170,A,Member,Male,Home and lifestyle,131.76,9,59.292,1245.132,01/19/2019,January,20:07,Ewallet,1170.2992,6.010029459,74.8328,15.540800000000004,4.3
237-01-6122,C,Member,Female,Home and lifestyle,154.48,9,69.516,1459.836,02/01/2019,February,20:31,Credit card,1372.9616,5.950969835,86.8744,17.35839999999999,9.5
225-98-1496,C,Normal,Female,Fashion accessories,100.71,3,15.1065,317.2365,03/02/2019,March,13:01,Credit card,289.0732,8.877698499,28.1633,13.056799999999999,7.1
291-32-1427,B,Member,Male,Fashion accessories,95.63,5,23.9075,502.0575,03/05/2019,March,12:29,Ewallet,465.4996,7.28161615,36.5579,12.650399999999998,5.3
659-65-8956,B,Member,Male,Fashion accessories,125.05,1,6.2525,131.3025,01/16/2019,January,15:26,Ewallet,110.046,16.18895299,21.2565,15.003999999999998,5.2
642-32-2990,A,Normal,Female,Food and beverages,84.65,10,42.325,888.825,02/02/2019,February,20:48,Ewallet,834.7280000000001,6.086349956,54.097,11.771999999999998,6.0
378-24-2715,B,Normal,Male,Home and lifestyle,127.13,2,12.713,266.973,01/20/2019,January,20:38,Ewallet,239.0896,10.44427714,27.8834,15.170400000000003,4.1
638-60-7125,A,Normal,Female,Electronic accessories,173.25,8,69.3,1455.3,02/14/2019,February,17:03,Credit card,1367.14,6.0578574860000005,88.16,18.86,5.2
659-36-1684,C,Member,Male,Sports and travel,130.81,7,45.7835,961.4535,01/12/2019,January,12:02,Credit card,900.2052,6.370386087000001,61.2483,15.464800000000004,6.5
219-22-9386,B,Member,Male,Sports and travel,173.65,9,78.1425,1640.9925,03/09/2019,March,17:26,Credit card,1543.9579999999999,5.913159262000001,97.0345,18.891999999999996,4.2
336-78-2147,C,Member,Male,Home and lifestyle,137.6,8,55.04,1155.84,03/13/2019,March,19:52,Credit card,1084.792,6.146871539,71.048,16.008000000000003,4.6
268-27-6179,B,Member,Female,Fashion accessories,130.16,8,52.06399999999999,1093.344,03/09/2019,March,14:57,Ewallet,1025.8672,6.171598326,67.4768,15.412800000000004,7.3
668-90-8900,A,Normal,Female,Home and lifestyle,167.38,7,58.583,1230.243,03/10/2019,March,18:44,Credit card,1153.2696,6.256763908,76.9734,18.3904,4.5
870-54-3162,A,Normal,Female,Sports and travel,105.94,5,26.485,556.185,01/27/2019,January,13:26,Cash,516.2248,7.18469574,39.9602,13.475200000000001,9.0
189-08-9157,C,Normal,Female,Fashion accessories,105.42,9,47.43899999999999,996.2189999999999,01/08/2019,January,16:17,Credit card,935.3464,6.110363284,60.8726,13.433600000000006,5.9
663-86-9076,C,Member,Female,Food and beverages,142.23,8,56.891999999999996,1194.732,01/08/2019,January,15:57,Ewallet,1121.4616,6.132789613,73.2704,16.3784,8.5
549-84-7482,B,Normal,Female,Sports and travel,163.97,9,73.7865,1549.5165,02/08/2019,February,11:15,Ewallet,1457.6124,5.931146909,91.9041,18.117599999999996,7.2
191-10-6171,B,Normal,Female,Fashion accessories,113.31,7,39.6585,832.8285,01/25/2019,January,13:18,Cash,779.1052,6.450703836000001,53.7233,14.064800000000005,7.5
802-70-5316,A,Member,Female,Sports and travel,165.82,6,49.746,1044.6660000000002,03/06/2019,March,20:34,Cash,976.6544,6.510367907000001,68.0116,18.2656,8.3
695-51-0018,B,Normal,Female,Sports and travel,108.53,4,21.706,455.82599999999996,02/10/2019,February,18:36,Cash,420.4376,7.763576452000001,35.3884,13.682399999999998,7.4
590-83-4591,B,Member,Male,Electronic accessories,161.14,6,48.342,1015.182,02/17/2019,February,14:40,Credit card,948.9488,6.524268555,66.2332,17.891199999999998,8.8
483-71-1164,C,Normal,Female,Health and beauty,154.99,6,46.497,976.437,03/08/2019,March,16:43,Ewallet,912.5408,6.543811838,63.8962,17.3992,5.3
597-78-7908,C,Normal,Male,Fashion accessories,163.91,3,24.5865,516.3165,02/18/2019,February,19:39,Cash,473.6172,8.269985561,42.6993,18.1128,6.2
700-81-1757,A,Normal,Female,Electronic accessories,100.0,5,25.0,525.0,01/18/2019,January,20:59,Credit card,487.0,7.238095238,38.0,13.0,8.8
354-39-5160,A,Member,Female,Home and lifestyle,108.11,6,32.433,681.0930000000001,02/18/2019,February,15:39,Cash,635.0112,6.765860169,46.0818,13.648800000000001,9.8
241-72-9525,B,Normal,Male,Sports and travel,125.6,10,62.8,1318.8,02/16/2019,February,12:21,Cash,1240.952,5.902942069,77.848,15.048000000000002,8.2
575-30-8091,A,Normal,Male,Sports and travel,146.19,8,58.476000000000006,1227.996,03/16/2019,March,19:25,Ewallet,1152.8248,6.121453164,75.1712,16.695199999999993,9.2
731-81-9469,C,Member,Female,Sports and travel,163.49,10,81.745,1716.645,01/23/2019,January,13:00,Credit card,1616.8208,5.8150753360000005,99.8242,18.0792,5.4
280-17-4359,C,Member,Male,Health and beauty,164.19,10,82.095,1723.995,01/25/2019,January,13:48,Cash,1623.7648,5.8138335670000005,100.2302,18.135199999999998,8.1
338-65-2210,C,Member,Female,Health and beauty,142.29,10,71.145,1494.045,02/05/2019,February,19:57,Cash,1406.5168,5.858471465,87.5282,16.383200000000002,9.1
488-25-4221,C,Member,Female,Food and beverages,104.1,1,5.205,109.305,02/22/2019,February,10:36,Credit card,90.772,16.95530854,18.533,13.328000000000001,8.4
239-10-7476,A,Normal,Female,Home and lifestyle,151.64,6,45.492,955.332,01/21/2019,January,16:37,Ewallet,892.7088,6.555124292,62.6232,17.1312,8.0
458-41-1477,C,Normal,Female,Health and beauty,119.95,6,35.985,755.685,03/08/2019,March,17:11,Credit card,705.1039999999999,6.6933973810000005,50.581,14.596000000000004,9.5
685-64-1609,A,Member,Female,Fashion accessories,103.83,10,51.915,1090.215,02/10/2019,February,12:28,Ewallet,1024.9936,5.982434657000001,65.2214,13.306400000000004,9.2
568-90-5112,C,Normal,Male,Health and beauty,139.83,4,27.965999999999998,587.286,03/19/2019,March,12:46,Credit card,543.1336,7.518040613999999,44.1524,16.186400000000003,5.6
262-47-2794,B,Member,Male,Home and lifestyle,145.55,8,58.22,1222.62,03/06/2019,March,15:07,Credit card,1147.756,6.123243526,74.86399999999999,16.64399999999999,6.2
238-49-0436,A,Normal,Male,Health and beauty,106.15,8,42.46,891.66,03/27/2019,March,13:48,Credit card,835.7080000000001,6.27503757,55.952,13.491999999999997,4.9
608-96-3517,B,Member,Female,Fashion accessories,165.23,4,33.046,693.966,03/23/2019,March,19:20,Credit card,642.7016,7.38716306,51.2644,18.218400000000003,4.8
584-86-7256,C,Member,Male,Sports and travel,108.25,7,37.8875,795.6375,03/11/2019,March,16:07,Credit card,744.09,6.478767026,51.5475,13.659999999999997,7.3
746-94-0204,A,Normal,Male,Fashion accessories,156.93,9,70.6185,1482.9885,01/29/2019,January,11:56,Credit card,1394.8156,5.94562264,88.1729,17.5544,7.4
214-17-6927,C,Normal,Female,Food and beverages,90.17,6,27.051,568.071,02/07/2019,February,18:23,Ewallet,528.8064,6.911917699999999,39.2646,12.213600000000003,9.9
400-89-4171,C,Normal,Female,Sports and travel,154.66,8,61.864,1299.144,01/28/2019,January,13:05,Cash,1219.9072,6.09915452,79.2368,17.372800000000005,9.3
782-95-9291,A,Member,Male,Food and beverages,165.98,5,41.495,871.395,02/20/2019,February,15:55,Credit card,811.6216,6.859506883,59.7734,18.278400000000005,9.0
279-74-2924,B,Member,Male,Electronic accessories,145.86,1,7.292999999999999,153.153,01/04/2019,January,19:40,Cash,129.1912,15.64566153,23.9618,16.6688,6.1
307-85-2293,B,Normal,Male,Home and lifestyle,123.97,5,30.9925,650.8425,03/07/2019,March,13:58,Ewallet,604.9324,7.053949304,45.9101,14.9176,9.7
743-04-1105,B,Member,Male,Health and beauty,170.91,9,76.9095,1615.0995,03/30/2019,March,14:43,Ewallet,1519.5172,5.918044059,95.5823,18.67280000000001,6.0
423-57-2993,B,Normal,Male,Sports and travel,167.08,6,50.123999999999995,1052.604,03/27/2019,March,19:18,Ewallet,984.1136,6.506758477000001,68.4904,18.3664,10.0
894-41-5205,C,Normal,Female,Food and beverages,116.87,8,46.748000000000005,981.7080000000001,01/19/2019,January,19:39,Credit card,920.6104,6.22360213,61.0976,14.349599999999995,8.3
275-28-0149,A,Normal,Male,Sports and travel,137.38,1,6.869,144.249,02/25/2019,February,16:21,Cash,121.3896,15.84718092,22.8594,15.990400000000001,6.0
